title,quality_score,quality_category
Reacting To POSITIVE COMMENTS ASMR ! | Jackie Aina,0.9797375980125766,A
Andrew Wiggins Dunks on Poeltl Twice! Lowry 40 Points! 2017-18 Season,0.9794648413192284,A
Can Ellen Get Steph & Ayesha Curry to Reveal Their Baby's Gender?,0.9792834618079888,A
Drop the Mic w/ Ashton Kutcher & Sean Diddy Combs,0.979229567933368,A
Singing Whisper Challenge with Alicia Keys,0.9791600381800827,A
Will Smith Watched His Sons Jump Out of an Airplane,0.9790493835958098,A
I'm Pregnant! | 12 Week Pregnancy Update,0.9789081885856079,A
Unbreakable Kimmy Schmidt: Season 4 | Official Trailer [HD] | Netflix,0.9787584143605086,A
Guest Host Melissa McCarthy Interviews Dave Franco,0.9786808794137242,A
*SPOILER* 4th Eliminated Queen RuPaul's All Stars 3: Behind the Scenes,0.9781256271322496,A
Ultra Gaming on a $200 PC - GeForce NOW,0.978099460498905,A
Razer Phone Durability test - Scratch BURN and BEND tested!,0.9780711092186501,A
Michael B. Jordan Kept A Killmonger Diary,0.9779830638953041,A
Cantina Theme played by a pencil and a girl with too much time on her hands,0.9779404310537094,A
Typical audience reaction to a bass solo...,0.977012954025908,A
Daniel Kaluuya Hugged Oprah at the Golden Globes | The Graham Norton Show,0.9768486523842432,A
The Chainsmokers - Everybody Hates Me,0.9767790228066421,A
*NEW NYX MOCHI PUTTY MAKEUP COLLECTION | HIT OR MISS??,0.9767130512394012,A
Wheel of Freestyle with Black Panther's Letitia Wright,0.9766379535369355,A
Nikki Bella and Artem saved the LAST DANCE for 1 MILLION SUBSCRIBERS!,0.9763128491620112,A
"My therapist, Dr. Plier",0.9761928628708901,A
Anna Camp Takes the Bra Off Her Back for Anna Kendrick,0.9761719761719762,A
LeBron James 44 Points & A Game Winner!,0.9760319573901465,A
Hashtags: #MyWeirdRoommate,0.9759516616314199,A
A Smart... MUG?! - Take apart a Heated Thermos!,0.9758020957113536,A
Why Stradivarius violins are worth millions,0.9757561399352445,A
Kate Bosworth & Shemar Moore Disagree on People's Sexiest Man,0.9756235827664399,A
Forbidden Fruit Candy made at Lofty Pursuits,0.9755398433021212,A
Alexa Activated Fire Blaster - How To,0.9753377052855782,A
Everything Wrong With The Amityville Horror (1979),0.9745515452777177,A
Super Smash Bros - Trailer Analysis,0.9743865315162955,A
Thomas Rhett - Marry Me,0.9742975734355045,A
Tinashe ft. Offset: No Drama,0.9740188555141417,A
"How to Waterproof Electronics || Nail Polish, Silicone, Potting Compound",0.9738650306748466,A
Kiefer Sutherland's Mom Has An Impersonation Of Stephen,0.973583460949464,A
Jason Aldean - You Make It Easy (Lyric Video),0.973554676189557,A
UFC 223: Namajunas vs Joanna 2 - Jimmy Smith Preview,0.973421926910299,A
Panettone (Italian Christmas Bread) - Food Wishes,0.9733096085409253,A
